krog,varianta,faza,vzorec,komponenta,cpu_raw,mem_raw
1,C-samo-filter,mirovanje,9,cadvisor,6.06,45.7MiB
1,C-samo-filter,mirovanje,9,grafana,0.21,53.21MiB
1,C-samo-filter,mirovanje,9,elasticsearch,34.60,1.97GiB
1,C-samo-filter,mirovanje,9,kibana,17.53,651.7MiB
1,C-samo-filter,mirovanje,9,logstash,9.37,767.3MiB
1,C-samo-filter,mirovanje,9,alertmanager,0.23,20.18MiB
1,C-samo-filter,mirovanje,10,prometheus,0.05,50.89MiB
1,C-samo-filter,mirovanje,10,node-exporter,0.00,8.668MiB
1,C-samo-filter,mirovanje,10,cadvisor,4.82,43.39MiB
1,C-samo-filter,mirovanje,10,grafana,0.18,53.21MiB
1,C-samo-filter,mirovanje,10,elasticsearch,3.58,1.97GiB
1,C-samo-filter,mirovanje,10,kibana,10.72,651.7MiB
